,Ensemble ID,Uniprot ID
Sp110,ENSMUSG00000070034,Q8BVK9
Sp140,ENSMUSG00000070031,D3Z054
Gm17017,ENSMUSG00000090246,0
Sp100,ENSMUSG00000026222,O35892
A630001G21Rik,ENSMUSG00000052760,Q3UTB2
9930111H07Rik,ENSMUSG00000100217,0
Cab39,ENSMUSG00000036707,Q06138
Itm2c,ENSMUSG00000026223,Q91VK4
4933407L21Rik,ENSMUSG00000026224,D3Z3J4
Gm28884,ENSMUSG00000099767,0
Gpr55,ENSMUSG00000049608,Q3UJF0
Gm28100,ENSMUSG00000100108,0
Spata3,ENSMUSG00000026226,Q9D9T6
2810459M11Rik,ENSMUSG00000026227,Q9CYS6
Psmd1,ENSMUSG00000026229,Q3TXS7
Htr2b,ENSMUSG00000026228,Q02152
Gm21972,ENSMUSG00000094638,J3QN38
Armc9,ENSMUSG00000062590,Q9D2I5
B3gnt7,ENSMUSG00000079445,Q8K0J2
Gm28626,ENSMUSG00000099644,0
Ncl,ENSMUSG00000026234,P09405
Nmur1,ENSMUSG00000026237,O55040
1700019O17Rik,ENSMUSG00000036574,Q9DA60
Ptma,ENSMUSG00000026238,P26350
Pde6d,ENSMUSG00000026239,O55057
Cops7b,ENSMUSG00000026240,Q8BV13
Nppc,ENSMUSG00000026241,Q61839
Dis3l2,ENSMUSG00000053333,Q8CI75
Gm29371,ENSMUSG00000101625,0
Alppl2,ENSMUSG00000026246,P24823
Gm29374,ENSMUSG00000099839,0
Ecel1,ENSMUSG00000026247,Q9JMI0
Prss56,ENSMUSG00000036480,F2YMG0
Chrnd,ENSMUSG00000026251,P02716
Chrng,ENSMUSG00000026253,P04760
Eif4e2,ENSMUSG00000026254,Q8BMB3
Efhd1,ENSMUSG00000026255,Q9D4J1
Efhd1os,ENSMUSG00000089821,0
Gigyf2,ENSMUSG00000048000,Q6Y7W8
Kcnj13,ENSMUSG00000079436,P86046
3110079O15Rik,ENSMUSG00000026258,Q9CXL7
